id,predicted,actual,difficulty
134,anticholinergic,opioid,0
136,anticholinergic,serotonin_syndrome,1
409,serotonin_syndrome,serotonin_syndrome,2
408,cholinergic,sympathomimetic,1
407,anticholinergic,sedative_hypnotic,0
406,anticholinergic,anticholinergic,2
401,anticholinergic,sedative_hypnotic,2
138,anticholinergic,serotonin_syndrome,2
403,anticholinergic,sympathomimetic,2
402,anticholinergic,sedative_hypnotic,2
233,anticholinergic,serotonin_syndrome,1
230,cholinergic,serotonin_syndrome,1
231,anticholinergic,anticholinergic,0
236,anticholinergic,sympathomimetic,0
234,serotonin_syndrome,opioid,1
328,anticholinergic,anticholinergic,2
332,anticholinergic,opioid,2
238,cholinergic,sympathomimetic,2
334,anticholinergic,sympathomimetic,2
67,cholinergic,opioid,0
64,cholinergic,opioid,2
62,serotonin_syndrome,serotonin_syndrome,2
326,cholinergic,cholinergic,1
88,serotonin_syndrome,cholinergic,0
327,cholinergic,cholinergic,1
413,anticholinergic,sedative_hypnotic,2
458,anticholinergic,sedative_hypnotic,2
94,cholinergic,opioid,0
418,serotonin_syndrome,sympathomimetic,2
247,anticholinergic,cholinergic,2
456,cholinergic,sedative_hypnotic,1
89,anticholinergic,anticholinergic,1
322,anticholinergic,anticholinergic,1
323,cholinergic,sedative_hypnotic,2
325,serotonin_syndrome,serotonin_syndrome,0
249,anticholinergic,opioid,1
248,anticholinergic,anticholinergic,1
74,anticholinergic,serotonin_syndrome,1
77,cholinergic,anticholinergic,2
455,anticholinergic,cholinergic,0
73,serotonin_syndrome,anticholinergic,2
7,anticholinergic,cholinergic,0
339,anticholinergic,anticholinergic,2
338,cholinergic,cholinergic,0
466,cholinergic,cholinergic,1
438,anticholinergic,serotonin_syndrome,1
397,anticholinergic,serotonin_syndrome,0
464,cholinergic,serotonin_syndrome,1
463,cholinergic,anticholinergic,1
390,anticholinergic,cholinergic,0
393,anticholinergic,cholinergic,1
392,cholinergic,anticholinergic,0
399,anticholinergic,cholinergic,2
468,anticholinergic,opioid,0
48,anticholinergic,sympathomimetic,0
333,cholinergic,opioid,2
256,anticholinergic,serotonin_syndrome,2
319,cholinergic,sedative_hypnotic,1
251,anticholinergic,opioid,1
252,anticholinergic,anticholinergic,2
314,anticholinergic,serotonin_syndrome,0
317,anticholinergic,opioid,2
316,cholinergic,cholinergic,0
258,anticholinergic,serotonin_syndrome,2
259,anticholinergic,anticholinergic,0
312,anticholinergic,opioid,0
128,anticholinergic,anticholinergic,1
347,anticholinergic,sedative_hypnotic,2
122,anticholinergic,opioid,2
432,anticholinergic,sympathomimetic,0
120,cholinergic,anticholinergic,0
121,anticholinergic,sympathomimetic,1
127,anticholinergic,serotonin_syndrome,0
124,anticholinergic,anticholinergic,2
125,anticholinergic,sympathomimetic,0
269,cholinergic,opioid,0
475,cholinergic,cholinergic,2
476,anticholinergic,opioid,0
473,cholinergic,serotonin_syndrome,2
263,anticholinergic,anticholinergic,2
478,anticholinergic,sympathomimetic,0
479,serotonin_syndrome,serotonin_syndrome,2
435,anticholinergic,cholinergic,1
302,anticholinergic,serotonin_syndrome,1
303,serotonin_syndrome,cholinergic,1
306,anticholinergic,sympathomimetic,0
307,anticholinergic,serotonin_syndrome,1
59,anticholinergic,anticholinergic,1
305,cholinergic,opioid,2
56,anticholinergic,anticholinergic,1
54,serotonin_syndrome,sedative_hypnotic,1
52,anticholinergic,anticholinergic,1
51,anticholinergic,sympathomimetic,1
50,cholinergic,cholinergic,2
421,cholinergic,opioid,0
91,anticholinergic,anticholinergic,1
159,anticholinergic,sedative_hypnotic,2
157,anticholinergic,sympathomimetic,1
156,anticholinergic,serotonin_syndrome,0
155,serotonin_syndrome,serotonin_syndrome,2
154,anticholinergic,sedative_hypnotic,1
153,cholinergic,serotonin_syndrome,1
150,serotonin_syndrome,opioid,2
290,cholinergic,serotonin_syndrome,0
279,anticholinergic,cholinergic,1
276,anticholinergic,opioid,0
277,cholinergic,anticholinergic,1
274,anticholinergic,opioid,1
92,cholinergic,sedative_hypnotic,0
273,anticholinergic,cholinergic,2
271,anticholinergic,anticholinergic,1
377,serotonin_syndrome,serotonin_syndrome,2
180,serotonin_syndrome,opioid,2
375,cholinergic,sedative_hypnotic,2
374,anticholinergic,serotonin_syndrome,1
373,anticholinergic,cholinergic,1
372,cholinergic,sedative_hypnotic,1
370,anticholinergic,anticholinergic,0
182,cholinergic,cholinergic,1
379,anticholinergic,cholinergic,0
226,anticholinergic,sympathomimetic,2
461,serotonin_syndrome,sedative_hypnotic,0
22,anticholinergic,sedative_hypnotic,1
465,anticholinergic,anticholinergic,0
297,serotonin_syndrome,sedative_hypnotic,2
27,cholinergic,cholinergic,2
24,anticholinergic,serotonin_syndrome,0
25,anticholinergic,sedative_hypnotic,2
389,serotonin_syndrome,opioid,0
149,anticholinergic,opioid,1
350,anticholinergic,sympathomimetic,2
382,cholinergic,cholinergic,0
145,serotonin_syndrome,serotonin_syndrome,1
146,anticholinergic,opioid,0
386,cholinergic,sympathomimetic,2
141,anticholinergic,sympathomimetic,1
142,anticholinergic,serotonin_syndrome,1
283,anticholinergic,sedative_hypnotic,0
387,anticholinergic,opioid,2
420,anticholinergic,anticholinergic,1
287,anticholinergic,opioid,1
286,anticholinergic,serotonin_syndrome,2
285,anticholinergic,cholinergic,1
284,anticholinergic,opioid,2
427,anticholinergic,anticholinergic,0
288,anticholinergic,sedative_hypnotic,0
366,anticholinergic,opioid,1
367,anticholinergic,anticholinergic,0
361,serotonin_syndrome,opioid,2
383,cholinergic,sympathomimetic,1
200,anticholinergic,sedative_hypnotic,2
207,anticholinergic,anticholinergic,2
369,cholinergic,anticholinergic,2
39,serotonin_syndrome,serotonin_syndrome,1
84,anticholinergic,sedative_hypnotic,0
41,cholinergic,serotonin_syndrome,1
425,cholinergic,cholinergic,0
31,anticholinergic,sympathomimetic,0
33,cholinergic,opioid,1
32,anticholinergic,cholinergic,1
35,anticholinergic,opioid,1
36,anticholinergic,anticholinergic,0
171,anticholinergic,sedative_hypnotic,2
170,cholinergic,serotonin_syndrome,1
87,anticholinergic,sympathomimetic,0
441,serotonin_syndrome,opioid,2
440,anticholinergic,anticholinergic,1
443,anticholinergic,opioid,1
442,anticholinergic,sedative_hypnotic,1
444,anticholinergic,serotonin_syndrome,1
318,serotonin_syndrome,cholinergic,1
113,serotonin_syndrome,opioid,0
291,anticholinergic,anticholinergic,2
292,cholinergic,serotonin_syndrome,1
295,anticholinergic,sympathomimetic,0
296,serotonin_syndrome,cholinergic,1
114,anticholinergic,opioid,2
299,anticholinergic,opioid,1
353,anticholinergic,serotonin_syndrome,1
352,anticholinergic,anticholinergic,2
355,serotonin_syndrome,sedative_hypnotic,2
357,serotonin_syndrome,sedative_hypnotic,0
424,anticholinergic,anticholinergic,1
218,anticholinergic,serotonin_syndrome,0
199,cholinergic,sedative_hypnotic,2
198,cholinergic,serotonin_syndrome,2
192,anticholinergic,cholinergic,2
193,cholinergic,anticholinergic,0
211,cholinergic,opioid,1
212,serotonin_syndrome,cholinergic,2
190,anticholinergic,anticholinergic,1
214,anticholinergic,sedative_hypnotic,1
42,anticholinergic,serotonin_syndrome,2
216,anticholinergic,cholinergic,2
194,serotonin_syndrome,sedative_hypnotic,2
43,anticholinergic,opioid,2
311,anticholinergic,cholinergic,1
310,anticholinergic,anticholinergic,2
166,anticholinergic,sympathomimetic,1
9,anticholinergic,sedative_hypnotic,1
165,anticholinergic,serotonin_syndrome,0
162,anticholinergic,cholinergic,1
163,cholinergic,cholinergic,0
160,cholinergic,serotonin_syndrome,1
459,anticholinergic,anticholinergic,2
3,anticholinergic,serotonin_syndrome,0
454,anticholinergic,sedative_hypnotic,1
0,anticholinergic,sympathomimetic,0
452,cholinergic,cholinergic,0
453,anticholinergic,opioid,0
4,anticholinergic,opioid,0
100,cholinergic,serotonin_syndrome,1
99,cholinergic,cholinergic,0
103,anticholinergic,anticholinergic,0
348,anticholinergic,anticholinergic,1
349,anticholinergic,sympathomimetic,1
430,anticholinergic,cholinergic,2
109,anticholinergic,cholinergic,2
344,anticholinergic,anticholinergic,0
345,anticholinergic,sedative_hypnotic,2
343,anticholinergic,cholinergic,2
436,serotonin_syndrome,opioid,0
341,anticholinergic,sympathomimetic,2
188,cholinergic,anticholinergic,2
225,anticholinergic,anticholinergic,1
227,anticholinergic,sedative_hypnotic,2
183,serotonin_syndrome,opioid,2
184,cholinergic,cholinergic,0
186,anticholinergic,opioid,1
222,anticholinergic,sympathomimetic,1
12,anticholinergic,opioid,1
11,cholinergic,cholinergic,0
10,serotonin_syndrome,sedative_hypnotic,0
17,anticholinergic,cholinergic,2
16,anticholinergic,serotonin_syndrome,2
15,anticholinergic,anticholinergic,2
14,anticholinergic,opioid,2
44,serotonin_syndrome,sedative_hypnotic,2
